threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013506
1,1000,10000,1.3995586262,0.122070
1,1000,100000,1.3995586328,1.228546
1,10000,1000,1.3995586262,0.124863
1,10000,10000,1.3995592780,1.199188
1,10000,100000,1.3995592845,11.793585
1,100000,1000,1.3995586328,1.195853
1,100000,10000,1.3995592845,11.789038
1,100000,100000,1.3995592911,117.718808
2,1000,1000,1.3995579745,0.007231
2,1000,10000,1.3995586262,0.088658
2,1000,100000,1.3995586328,0.653124
2,10000,1000,1.3995586262,0.066526
2,10000,10000,1.3995592780,0.698132
2,10000,100000,1.3995592845,6.531584
2,100000,1000,1.3995586328,0.666928
2,100000,10000,1.3995592845,6.477251
2,100000,100000,1.3995592910,66.863882
4,1000,1000,1.3995579745,0.006009
4,1000,10000,1.3995586262,0.056778
4,1000,100000,1.3995586328,0.402817
4,10000,1000,1.3995586262,0.038166
4,10000,10000,1.3995592780,0.382385
4,10000,100000,1.3995592845,3.816500
4,100000,1000,1.3995586328,0.384871
4,100000,10000,1.3995592845,3.864111
4,100000,100000,1.3995592910,42.914033
8,1000,1000,1.3995579745,0.006583
8,1000,10000,1.3995586262,0.056067
8,1000,100000,1.3995586328,0.365064
8,10000,1000,1.3995586262,0.050312
8,10000,10000,1.3995592780,0.367614
8,10000,100000,1.3995592845,3.643743
8,100000,1000,1.3995586328,0.352627
8,100000,10000,1.3995592845,3.574127
8,100000,100000,1.3995592910,37.706713
