threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.024501
1,1000,10000,1.3995586262,0.199222
1,1000,100000,1.3995586328,1.627255
1,10000,1000,1.3995586262,0.179462
1,10000,10000,1.3995592780,1.591290
1,10000,100000,1.3995592845,15.906801
1,100000,1000,1.3995586328,1.621678
1,100000,10000,1.3995592845,15.901571
1,100000,100000,1.3995592911,158.634026
2,1000,1000,1.3995579745,0.009412
2,1000,10000,1.3995586262,0.085739
2,1000,100000,1.3995586328,0.838781
2,10000,1000,1.3995586262,0.086041
2,10000,10000,1.3995592780,0.841880
2,10000,100000,1.3995592845,8.360543
2,100000,1000,1.3995586328,0.840730
2,100000,10000,1.3995592845,8.349911
2,100000,100000,1.3995592910,83.299110
4,1000,1000,1.3995579745,0.007768
4,1000,10000,1.3995586262,0.070351
4,1000,100000,1.3995586328,0.457386
4,10000,1000,1.3995586262,0.071708
4,10000,10000,1.3995592780,0.457961
4,10000,100000,1.3995592845,4.384363
4,100000,1000,1.3995586328,0.442043
4,100000,10000,1.3995592845,4.374773
4,100000,100000,1.3995592910,76.097975
8,1000,1000,1.3995579745,0.007917
8,1000,10000,1.3995586262,0.135255
8,1000,100000,1.3995586328,0.704785
8,10000,1000,1.3995586262,0.104905
8,10000,10000,1.3995592780,0.721056
8,10000,100000,1.3995592845,6.714135
8,100000,1000,1.3995586328,0.710382
8,100000,10000,1.3995592845,6.695625
8,100000,100000,1.3995592910,66.251751
