threads,intervalo_x,intervalo_y,resultado,tempo
1,1000,1000,1.3995579745,0.013253
1,1000,10000,1.3995586262,0.121379
1,1000,100000,1.3995586328,1.229262
1,10000,1000,1.3995586262,0.122741
1,10000,10000,1.3995592780,1.192599
1,10000,100000,1.3995592845,11.764701
1,100000,1000,1.3995586328,1.190626
1,100000,10000,1.3995592845,11.782097
1,100000,100000,1.3995592911,118.853487
2,1000,1000,1.3995579745,0.007139
2,1000,10000,1.3995586262,0.067503
2,1000,100000,1.3995586328,0.624486
2,10000,1000,1.3995586262,0.065693
2,10000,10000,1.3995592780,0.660898
2,10000,100000,1.3995592845,6.541210
2,100000,1000,1.3995586328,0.634598
2,100000,10000,1.3995592845,6.514681
2,100000,100000,1.3995592910,65.193433
4,1000,1000,1.3995579745,0.006093
4,1000,10000,1.3995586262,0.056836
4,1000,100000,1.3995586328,0.398808
4,10000,1000,1.3995586262,0.062084
4,10000,10000,1.3995592780,0.371800
4,10000,100000,1.3995592845,3.763157
4,100000,1000,1.3995586328,0.370892
4,100000,10000,1.3995592845,3.797187
4,100000,100000,1.3995592910,38.710143
8,1000,1000,1.3995579745,0.003718
8,1000,10000,1.3995586262,0.056463
8,1000,100000,1.3995586328,0.332408
8,10000,1000,1.3995586262,0.035072
8,10000,10000,1.3995592780,0.388844
8,10000,100000,1.3995592845,3.482337
8,100000,1000,1.3995586328,0.349823
8,100000,10000,1.3995592845,3.458313
8,100000,100000,1.3995592910,35.009556
